pulled_at_utc,station_id,station_name,river,level_cm,level_measured_at,flow_cms,flow_measured_at,temp_c,temp_measured_at
2026-06-15 08:46:12,149200160,Krościenko,Dunajec,191,2026-06-15 08:20:00,29.8,2026-06-15 08:10:00,11.6,2026-06-14 06:00:00
2026-06-15 08:46:12,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11,2026-06-14 06:00:00
2026-06-15 08:46:12,149200190,Gołkowice,Dunajec,163,2026-06-15 08:30:00,33,2026-06-15 08:10:00,,
2026-06-15 08:55:04,149200160,Krościenko,Dunajec,191,2026-06-15 08:20:00,29.8,2026-06-15 08:30:00,11.6,2026-06-14 06:00:00
2026-06-15 08:55:04,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11,2026-06-14 06:00:00
2026-06-15 08:55:04,149200190,Gołkowice,Dunajec,163,2026-06-15 08:30:00,34,2026-06-15 08:30:00,,
2026-06-15 08:55:04,149220060,Lesko,San,172,2026-06-15 08:30:00,15.2,2026-06-15 08:30:00,,
2026-06-15 10:02:22,149200160,Krościenko,Dunajec,192,2026-06-15 09:20:00,30.8,2026-06-15 09:30:00,11.6,2026-06-14 06:00:00
2026-06-15 10:02:22,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11,2026-06-14 06:00:00
2026-06-15 10:02:22,149200190,Gołkowice,Dunajec,162,2026-06-15 09:30:00,33,2026-06-15 09:30:00,,
2026-06-15 10:02:22,149220060,Lesko,San,172,2026-06-15 09:30:00,15.2,2026-06-15 09:30:00,,
2026-06-15 12:01:51,149200160,Krościenko,Dunajec,192,2026-06-15 11:20:00,30.8,2026-06-15 11:30:00,10.7,2026-06-15 06:00:00
2026-06-15 12:01:51,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-15 12:01:51,149200190,Gołkowice,Dunajec,162,2026-06-15 11:30:00,33,2026-06-15 11:30:00,,
2026-06-15 12:01:51,149220060,Lesko,San,172,2026-06-15 11:30:00,15.2,2026-06-15 11:30:00,,
2026-06-15 14:01:55,149200160,Krościenko,Dunajec,192,2026-06-15 13:20:00,30.8,2026-06-15 13:30:00,10.7,2026-06-15 06:00:00
2026-06-15 14:01:55,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-15 14:01:55,149200190,Gołkowice,Dunajec,164,2026-06-15 13:30:00,35,2026-06-15 13:30:00,,
2026-06-15 14:01:55,149220060,Lesko,San,172,2026-06-15 13:30:00,15.2,2026-06-15 13:30:00,,
2026-06-15 16:01:33,149200160,Krościenko,Dunajec,192,2026-06-15 15:20:00,29.8,2026-06-15 15:30:00,10.7,2026-06-15 06:00:00
2026-06-15 16:01:33,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-15 16:01:33,149200190,Gołkowice,Dunajec,165,2026-06-15 15:30:00,36,2026-06-15 15:30:00,,
2026-06-15 16:01:33,149220060,Lesko,San,172,2026-06-15 15:30:00,15.2,2026-06-15 15:30:00,,
2026-06-15 18:01:26,149200160,Krościenko,Dunajec,191,2026-06-15 17:20:00,29.8,2026-06-15 17:30:00,10.7,2026-06-15 06:00:00
2026-06-15 18:01:26,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-15 18:01:26,149200190,Gołkowice,Dunajec,164,2026-06-15 17:30:00,35,2026-06-15 17:30:00,,
2026-06-15 18:01:26,149220060,Lesko,San,172,2026-06-15 17:30:00,15.2,2026-06-15 17:30:00,,
2026-06-15 20:01:48,149200160,Krościenko,Dunajec,191,2026-06-15 19:20:00,29.8,2026-06-15 19:30:00,10.7,2026-06-15 06:00:00
2026-06-15 20:01:48,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-15 20:01:48,149200190,Gołkowice,Dunajec,165,2026-06-15 19:30:00,36,2026-06-15 19:30:00,,
2026-06-15 20:01:48,149220060,Lesko,San,172,2026-06-15 19:30:00,15.2,2026-06-15 19:30:00,,
2026-06-15 22:00:57,149200160,Krościenko,Dunajec,190,2026-06-15 21:20:00,29.8,2026-06-15 21:30:00,10.7,2026-06-15 06:00:00
2026-06-15 22:00:57,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-15 22:00:57,149200190,Gołkowice,Dunajec,163,2026-06-15 21:30:00,34,2026-06-15 21:30:00,,
2026-06-15 22:00:57,149220060,Lesko,San,172,2026-06-15 21:30:00,15.2,2026-06-15 21:30:00,,
2026-06-16 00:01:10,149200160,Krościenko,Dunajec,193,2026-06-15 23:20:00,31.9,2026-06-15 23:30:00,10.7,2026-06-15 06:00:00
2026-06-16 00:01:10,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-16 00:01:10,149200190,Gołkowice,Dunajec,163,2026-06-15 23:30:00,34,2026-06-15 23:30:00,,
2026-06-16 00:01:10,149220060,Lesko,San,172,2026-06-15 23:30:00,15.2,2026-06-15 23:30:00,,
